Table,Description,Fields,Example_Questions,Usage_Tips,Multi_Table_Questions,Related_Tables,Join_Conditions
constructorResults,"记录每场比赛中车队的比赛成绩","constructorResultsId, raceId, constructorId, points, status","车队在某场比赛的积分|车队单场表现统计","用于查询车队在单场比赛中的表现","车队在某年的总积分|车队在某赛道的历史表现","constructors,races","constructorResults.constructorId = constructors.constructorId; constructorResults.raceId = races.raceId"
constructorStandings,"保存每场比赛后车队在赛季中的累计积分和排名","constructorStandingsId, raceId, constructorId, points, position, wins","车队赛季排名走势|车队累计积分变化","适用于赛季走势分析，points是累计积分","2009年和2010年分别举行了多少场比赛？它们相差多少？|车队赛季冠军争夺分析","constructors,races","constructorStandings.constructorId = constructors.constructorId; constructorStandings.raceId = races.raceId"
driverStandings,"保存每场比赛后车手在赛季中的累计积分和排名情况","driverStandingsId, raceId, driverId, points, position, wins","车手赛季排名|车手积分走势","用于查询车手赛季排名走势，points是累计积分，不用于统计总得分","刘易斯·汉密尔顿的赛季表现分析|车手冠军争夺历程","drivers,races","driverStandings.driverId = drivers.driverId; driverStandings.raceId = races.raceId"
lapTimes,"记录每位车手在每圈的成绩","raceId, driverId, lap, position, time, milliseconds","车手单圈成绩|最快圈速分析","用于分析比赛过程表现","在2009年澳大利亚大奖赛资格赛中，排名第一的车手在三场比赛中的平均圈速是多少？|车手圈速对比分析","drivers,races","lapTimes.driverId = drivers.driverId; lapTimes.raceId = races.raceId"
pitStops,"记录车手进站数据","raceId, driverId, stop, lap, time, duration, milliseconds","进站策略分析|进站时间统计","适合分析进站策略","在2006年英国大奖赛中车手进站策略对比|进站次数与成绩关系分析","drivers,races","pitStops.driverId = drivers.driverId; pitStops.raceId = races.raceId"
circuits,"记录每条赛道信息","circuitId, circuitRef, name, location, country, lat, lng, alt, url","赛道地理位置|赛道特征分析","用于地理分析或定位比赛场地","最靠近北回归线的赛道的名称和位置是什么？|哪些国家的赛道数量是日本的两倍多？","races","circuits.circuitId = races.circuitId"
constructors,"记录F1车队基本信息","constructorId, constructorRef, name, nationality, url","车队基本资料|车队国籍统计","适用于车队基本资料查询","哪个国家的车队数量最多？|欧洲车队vs其他地区车队表现对比","constructorResults,constructorStandings","constructors.constructorId = constructorResults.constructorId; constructors.constructorId = constructorStandings.constructorId"
drivers,"记录车手基本信息","driverId, driverRef, number, code, forename, surname, dob, nationality, url","车手基本资料|车手年龄计算","用于查询车手基本资料，计算车手年龄等","五年后，刘易斯·汉密尔顿多大了？|美国车手vs英国车手数量对比","results,driverStandings,lapTimes,pitStops,qualifying","drivers.driverId = results.driverId; drivers.driverId = driverStandings.driverId"
qualifying,"记录排位赛成绩","qualifyId, raceId, driverId, constructorId, position, q1, q2, q3","排位赛表现|杆位统计","用于分析排位赛表现","在2009年澳大利亚大奖赛资格赛中，排名第一的车手在三场比赛中的平均圈速是多少？|车手杆位数量统计","drivers,constructors,races","qualifying.driverId = drivers.driverId; qualifying.constructorId = constructors.constructorId; qualifying.raceId = races.raceId"
races,"记录每场比赛的基本信息","raceId, year, round, circuitId, name, date, time, url","比赛基本信息|年份统计","作为比赛主表，适合与circuits、results、standings等表联合","2009年和2010年分别举行了多少场比赛？它们相差多少？|在乔治·W·布什担任总统期间，美国举办了多少场比赛？","circuits,results,driverStandings,constructorStandings,qualifying,lapTimes,pitStops","races.circuitId = circuits.circuitId; races.raceId = results.raceId"
results,"记录比赛实际成绩","resultId, raceId, driverId, constructorId, grid, position, points, laps, time, milliseconds, fastestLap, rank, fastestLapTime, fastestLapSpeed, statusId","比赛成绩|积分统计|最快圈速","用于统计真实比赛得分和排名，是计算总积分、胜场、最快圈速等的核心表","请提供参加过的比赛次数至少是艾伦·伯格的两倍且与著名的歌手迈克尔·杰克逊具有相同国籍的车手的ID、名字、比赛次数|车手生涯积分统计","drivers,constructors,races,status","results.driverId = drivers.driverId; results.constructorId = constructors.constructorId; results.raceId = races.raceId; results.statusId = status.statusId"
seasons,"记录F1赛季年份","year, url","赛季信息|年份筛选","适合年份/赛季粒度的分析，常用于构建年份筛选器","在与著名足球运动员克里斯蒂亚诺·罗纳尔多拥有相同国籍的车手中，参加过2006年美国大奖赛的选手是没有参加过的选手的多少倍？|不同年代F1发展对比","races","seasons.year = races.year"
status,"记录比赛结果状态说明","statusId, status","比赛状态|完赛率统计","当查询results中statusId字段时需联表，辅助理解结果状态","车手完赛率统计|不同状态的比赛结果分析","results","status.statusId = results.statusId"